회사명,회계년도,주식수익률변동성
세방전지,2014,0.027562863763634416
세방전지,2015,0.04598084129347978
세방전지,2016,0.026142701641892127
세방전지,2017,0.021517444170672872
세방전지,2018,0.03501676832374362
세방전지,2019,0.03797636049864425
세방전지,2020,0.06805367363096085
세방전지,2021,0.07908888034631842
유니드,2010,0.027666516056785384
유니드,2011,0.040496138944965704
유니드,2012,0.04208002970347259
유니드,2013,0.047679587085960075
유니드,2014,0.029159376984065496
유니드,2015,0.034519918710200916
유니드,2016,0.04313433771192675
유니드,2017,0.025577531444897113
유니드,2018,0.04600574958559227
유니드,2019,0.0217137654092927
유니드,2020,0.04939495686299839
유니드,2021,0.07790699724245811
유한양행,2010,0.03350150026091356
유한양행,2011,0.0487310593444047
유한양행,2012,0.03940659909160194
유한양행,2013,0.037954760227174644
유한양행,2014,0.028616556094824476
유한양행,2015,0.05560298732014386
유한양행,2016,0.051675726008846776
유한양행,2017,0.03736911504434759
유한양행,2018,0.058901831611065665
유한양행,2019,0.030614999179855825
유한양행,2020,0.049472238271719066
유한양행,2021,0.032896429824857
태경산업,2010,0.03716043985750979
태경산업,2011,0.039972123954421734
태경산업,2012,0.026279184096308875
태경산업,2013,0.033490468582119244
태경산업,2014,0.023993693382029214
태경산업,2015,0.023235186878435125
태경산업,2016,0.018934968078590096
태경산업,2017,0.01735335436881066
태경산업,2018,0.05933403831906458
태경산업,2019,0.03719272276359593
태경산업,2020,0.04943673337401948
태경산업,2021,0.05157043299766924
태경케미컬,2010,0.09259778610569655
태경케미컬,2011,0.06312561488936783
태경케미컬,2012,0.06777840578520582
태경케미컬,2013,0.04704370480310416
태경케미컬,2014,0.03890123175244283
태경케미컬,2015,0.040260980308142666
태경케미컬,2016,0.02835303347449116
태경케미컬,2017,0.022035260224675394
태경케미컬,2018,0.03283958156546188
태경케미컬,2019,0.06541091598697651
태경케미컬,2020,0.1292659152096352
태경케미컬,2021,0.08683065984429304
한섬,2010,0.04459924943548025
한섬,2011,0.05185852013175333
한섬,2012,0.054528091860452946
한섬,2013,0.038378361530167666
한섬,2014,0.03738233538763155
한섬,2015,0.0412544673222011
한섬,2016,0.02883976869498371
한섬,2017,0.042064077759559754
한섬,2018,0.04348221268762356
한섬,2019,0.04569260196008066
한섬,2020,0.07816820128567
한섬,2021,0.046453199108671316
한화,2010,0.04404029130766205
한화,2011,0.06327039928874348
한화,2012,0.03667714426271593
한화,2013,0.027782247735542772
한화,2014,0.04657933057951815
한화,2015,0.048311850112440324
한화,2016,0.041350846967150384
한화,2017,0.03152153442899048
한화,2018,0.042735969093028126
한화,2019,0.03603781168230745
한화,2020,0.07843861595577187
한화,2021,0.041411096309733796
현대백화점,2010,0.044768487030592594
현대백화점,2011,0.055085080556964254
현대백화점,2012,0.04651136506329887
현대백화점,2013,0.03216581201550774
현대백화점,2014,0.03952680841508154
현대백화점,2015,0.04485840615405214
현대백화점,2016,0.028515045227893256
현대백화점,2017,0.03585432524606259
현대백화점,2018,0.04233710007551629
현대백화점,2019,0.033249467232624806
현대백화점,2020,0.05493928272578674
현대백화점,2021,0.035770644296322075
대정화금,2010,
대정화금,2011,0.07021222672064724
대정화금,2012,0.04901944708083884
대정화금,2013,0.054178437667943086
대정화금,2014,0.023837546541518654
대정화금,2015,0.06496430055549494
대정화금,2016,0.03487358672953159
대정화금,2017,0.02517018541534946
대정화금,2018,0.04861186948610249
대정화금,2019,0.05357903444419803
대정화금,2020,0.13669416018780095
대정화금,2021,0.06952750068819422
