,회사명,회계년도,자산총계,자본총계,부채총계,매출액증가율,영업활동현금흐름,보통주총배당금,상장일,종가,최대주주지분율,외국인지분율,소액주주주식수,우선주자본금,발행주식 보통주,ROA
84,유한양행,2010,1.2879E+12,1.09664E+12,1.91265E+11,2.6,1.48762E+11,10294159000,1962-11-01,173500,15.62,39.66,4607275,1180940000,10626355,10.78
85,유한양행,2011,1.31407E+12,1.11672E+12,1.97343E+11,2.36,72377881000,12914286000,1962-11-01,127500,15.63,35.01,4771174,1180940000,11152546,7.24
86,유한양행,2012,1.40308E+12,1.18822E+12,2.14867E+11,14.31,72379345000,12899430000,1962-11-01,173000,15.62,25.97,5624952,1180940000,11152546,5.95
87,유한양행,2013,1.51397E+12,1.22825E+12,2.85723E+11,21.53,79777959000,15273018000,1962-11-01,187000,15.56,24.6,5340535,1180940000,11152546,5.93
88,유한양행,2014,1.61597E+12,1.27586E+12,3.40107E+11,7.83,94385653000,17624731000,1962-11-01,169500,15.56,24.83,5353462,1180940000,11152546,5.81
89,유한양행,2015,1.88033E+12,1.36394E+12,5.16389E+11,10.93,1.26235E+11,20074690000,1962-11-01,272500,15.52,32.18,5656361,1180940000,11152546,7.21
90,유한양행,2016,2.04594E+12,1.49655E+12,5.49389E+11,17.02,74144087000,20074690000,1962-11-01,199500,15.52,29,5542490,1180940000,11152546,8.21
91,유한양행,2017,2.09467E+12,1.60632E+12,4.88348E+11,10.71,1.26125E+11,21279010000,1962-11-01,219000,15.52,23.79,6319089,1180940000,11665896,5.3
92,유한양행,2018,2.17381E+12,1.65174E+12,5.22077E+11,3.87,93451633000,22251156000,1962-11-01,204500,15.57,21.87,6068541,1180940000,12209354,2.73
93,유한양행,2019,2.1172E+12,1.64999E+12,4.67209E+11,-2.53,65985413000,23310570000,1962-11-01,236500,15.6,20.36,5524694,1180940000,12777115,1.71
94,유한양행,2020,2.39352E+12,1.8465E+12,5.4702E+11,9.42,28830249000,24469858000,1962-11-01,75100,15.66,20.3,35132249,1180940000,66856810,8.44
95,유한양행,2021,2.46381E+12,1.93589E+12,5.27923E+11,0,99000468000,25608803000,1962-11-01,62100,15.74,16.89,31459743,1180940000,69972959,4.02
96,한섬,2010,7.06708E+11,6.2462E+11,82087932000,15.55,79099981000,8349631000,1996-07-03,18300,34.64,25.95,8571366,0,24630000,11.24
97,한섬,2011,7.94254E+11,7.0416E+11,90093961000,11.96,57395955000,10326000000,1996-07-03,29700,34.64,26.72,8366521,0,24630000,11.64
98,한섬,2012,8.73763E+11,7.59403E+11,1.14361E+11,-2.45,66620222000,6591000000,1996-07-03,29450,34.64,21.86,8882120,0,24630000,7.69
99,한섬,2013,1.00239E+12,7.95319E+11,2.07075E+11,-5.15,31765405000,6590878000,1996-07-03,31550,34.64,18.86,8848130,0,24630000,4.35
100,한섬,2014,1.04824E+12,8.24666E+11,2.23574E+11,11.49,7033604000,6590878000,1996-07-03,32550,34.64,14.67,7749612,0,24630000,3.55
