,roa,cashflow,g,lvrg,주식수익률,시장가치대장부가치비율,주식수익률변동성,roa변동성,외국인지분율,dps,시가배당률,dy변화,price
118,3.33,0.049518634,18.08,0.346816055,-0.080752212,0.390566295,0.033249467,0.433128157,29.13,1021,1.23,0.09531018,83100
119,1.29,0.029788343,3.37,0.422042878,-0.140794224,0.332042527,0.054939283,0.612943717,13.65,1011,1.42,0.087011377,71400
120,2.64,0.055764617,57.16,0.417380591,0.051820728,0.336327547,0.035770644,1.485272141,17.98,1100,1.46,0.024692613,75100
121,3.5,0.035630935,0,0.551100789,0.01183432,0.303818201,0.072825317,7.589868247,0.03,29,4.25,0.30830136,683
122,5.69,-0.057012621,8.05,0.581420166,0.606725146,0.441070696,0.056052412,2.407633693,0.29,29,2.64,-0.368137151,1098
123,3.2,0.030221381,5.9,0.551571331,0.046405823,0.431046998,0.041245753,1.158461624,0.15,24,2.09,-0.162676646,1150
124,5.94,0.108562362,-8.55,0.512168842,0.686956522,0.635626292,0.087247733,1.359301291,2.08,44,2.27,0.046233195,1940
125,3.42,0.0597077,0.18,0.503987403,0.059278351,0.645944217,0.067517985,1.514936742,1.18,29,1.41,-0.299803433,2055
126,4.18,0.093999118,-7.09,0.493455071,2.245742092,1.956544472,0.172813663,1.52241037,0.93,29,0.43,-0.528597794,6670
127,2.89,0.005480298,1.3,0.515311745,-0.596701649,0.755841348,0.102329097,1.292645865,1.4,35,1.30,0.461345567,2690
128,1.87,-0.026779097,-9.22,0.567509117,-0.19330855,0.585764611,0.063180471,0.648408308,2.13,30,1.38,0.034191365,2170
129,2.25,0.050595593,21.48,0.535943629,0.548387097,0.874492229,0.102006695,1.157626883,6.18,30,0.89,-0.230523659,3360
130,3.2,-0.014291818,-1.01,0.526085411,0.458333333,1.190611585,0.121950591,0.515493291,1.04,35,0.71,-0.100083459,4900
131,1.99,0.06200482,12.06,0.552207716,-0.406122449,0.679268509,0.059823138,0.685054742,1.75,40,1.37,0.326396585,2910
132,7.7,0.055941061,14.4,0.340426036,0.125531915,0.596949563,0.080701592,1.345523442,0.95,107,4.05,-0.09569048,2645
133,6.66,0.075980997,-11.49,0.293356343,-0.105860113,0.488132003,0.034563016,0.902164065,0.07,109,4.61,0.089970732,2365
134,5.94,0.094298711,-3.77,0.267079926,0.078224101,0.497388777,0.018658819,0.847899365,0.24,108,4.24,-0.061102748,2550
135,4.53,0.133032366,-18.72,0.218521275,0.098039216,0.524621987,0.028364055,0.884835201,0.12,108,3.86,-0.073795326,2800
136,5.21,0.040834635,-20.48,0.206271609,0.535714286,0.768795844,0.07078789,1.083466658,1.2,108,2.51,-0.316540901,4300
