,회사명,회계년도,log(age),roa,cashflow,g,lvrg,주식수익률,시장가치대장부가치비율,최대주주지분율,주식수익률변동성,roa변동성,외국인지분율,소액주주지분율,총배당금,dps,시가배당률,dy변화,log시총,price
57,LS,2019,3.7612001156935624,0.87,0.028218237562131276,0.65,0.6031662563292609,-0.0264765784114052,0.36034677723332076,32.32,0.0454354475945306,1.2868695867621298,13.78,0.43433049689440995,40262253000.0,1450.0,3.03,0.126818772471267,28.062257928994185,47800
58,LS,2020,3.784189633918261,1.74,0.060143561596844045,2.63,0.6185017795120278,0.493723849372385,0.5168214004720693,35.21,0.0880982042599273,2.012469461466021,11.85,0.45743155279503106,40262253000.0,1450.0,2.03,-0.2852037564373137,28.463530158842318,71400
59,LS,2021,3.8066624897703196,2.9,-0.010547921336300779,25.32,0.6269390696900815,-0.242296918767507,0.36983442562740565,32.23,0.042343513290022,2.041625169646313,13.92,0.46922770186335405,40262253000.0,1450.0,2.68,0.194350132659562,28.18606647534921,54100
61,LF,2011,1.791759469228055,7.99,-0.052076400566195405,0.0,0.2965755410406399,0.2886762360446571,1.431985026717224,38.66,0.0655863051470813,7.416441195074629,21.21,0.5258371751025992,11696000000.0,400.0,0.99,-0.1360408042299483,27.79763325679509,40400
62,LF,2012,1.9459101490553132,4.77,0.14856795192291775,1.89,0.275939936758108,-0.2252475247524752,1.0463057386007673,38.62,0.0517278782245113,1.2208740038731656,12.22,0.4601873119015048,11696000000.0,400.0,1.28,0.1360408042299483,27.542421569374092,31300
63,LF,2013,2.0794415416798357,5.19,0.1332801684758203,1.33,0.29160563031325976,0.0766773162939298,1.0769879818306614,39.65,0.0345623290462234,2.570162121994114,27.81,0.4134908002735978,11696000000.0,400.0,1.19,-0.0402738991379399,27.616301309186305,33700
64,LF,2014,2.1972245773362196,6.02,0.07309350877067934,-1.74,0.299367057029017,-0.1127596439169139,0.8894292053719214,39.69,0.0311616954695515,1.7504666044610178,38.01,0.3735888166894665,14620000000.0,500.0,1.67,0.1981769285837488,27.49666195222463,29900
65,LF,2015,2.302585092994046,3.52,0.03502185374783876,7.59,0.31006339627758756,-0.0969899665551839,0.7758559691811785,39.62,0.0355322463537452,0.6361079572944222,30.87,0.3905578317373461,14620000000.0,500.0,1.85,0.065240521868401,27.39464033783232,27000
66,LF,2016,2.3978952727983707,3.35,0.08936590055276572,-2.66,0.33453837104873696,-0.2018518518518518,0.5988671247588363,40.13,0.0300342900769909,1.2733027919548232,25.89,0.41330865253077975,14620000000.0,500.0,2.32,0.1526457886478378,27.169179288377745,21550
67,LF,2017,2.4849066497880004,4.41,0.07490390825354426,4.76,0.30818770652671446,0.4524361948955917,0.8295073052242323,39.89,0.0359071763751632,1.4948690020644886,37.57,0.4833296511627907,14620000000.0,500.0,1.6,-0.2444533379009607,27.542421569374092,31300
68,LF,2018,2.5649493574615367,5.01,0.07548430840759396,6.53,0.28356983727237506,-0.206070287539936,0.6139898430832411,39.97,0.0384911076399588,0.5692978130995644,37.98,0.5106664842681259,14620000000.0,500.0,2.01,0.1464286337333479,27.311661224370628,24850
