번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
"1604","413630","유진스팩8호","KOSDAQ","2021","12","-",,,,,,,,
"1605","001200","유진증권","KOSPI","2021","12","증권","3.64",,"5000","140","3.8","14.487","96866418","13137480300"
"1606","084370","유진테크","KOSDAQ","2021","12","반도체","0.42",,"500","270","0.5","9.58","22916042","6054040710"
"1607","178780","유테크","KOSDAQ","2021","12","유통","0.36",,"500",,,,"34820984",
"1608","221800","유투바이오","KONEX","2021","12","-",,,"500","300","1","8.203","2525510","757653000"
"1609","179900","유티아이","KOSDAQ","2021","12","IT부품","0.36",,"500","50","0.34","62.001","16206895","789888650"
"1610","263050","유틸렉스","KOSDAQ","2021","12","제약","0.3",,"500",,,,"15479484",
"1611","000100","유한양행","KOSPI","2021","12","의약품","0.12",,"1000","400","0.61","26.309","69972959","26079622200"
"1612","003460","유화증권","KOSPI","2021","12","증권","3.64",,"1000","130","4.69","83.701","56702415","8031140450"
"1613","191410","육일씨엔에쓰","KOSDAQ","2021","12","IT부품","0.36",,"500",,,,"9569736",
"1614","008730","율촌화학","KOSPI","2021","12","화학","1.1",,"500","500","1.83","146.711","24800000","12400000000"
"1615","072770","율호","KOSDAQ","2021","12","소프트웨어","0.32",,"500",,,,"51789802",
"1616","008250","이건산업","KOSPI","2021","12","종이목재","1.49",,"5000","200","1.8","18.332","10952635","2137905400"
"1617","039020","이건홀딩스","KOSDAQ","2021","12","종이·목재","0.2",,"1000","70","1.36","10.502","22584709","1515482920"
"1618","025820","이구산업","KOSPI","2021","12","철강금속","2.09",,"500","50","1.4","7.942","33442000","1672039450"
"1619","067920","이글루","KOSDAQ","2021","12","소프트웨어","0.32",,"500","160","2.3","22.083","10996119","1661771040"
"1620","044960","이글벳","KOSDAQ","2021","12","유통","0.36",,"500","50","0.6","16.87","12641883","613744850"
"1621","303530","이노뎁","KOSDAQ","2021","12","소프트웨어","0.32",,"500",,,,"7302549",
"1622","302430","이노메트리","KOSDAQ","2021","12","기계·장비","0.53",,"500",,,,"9833208",
"1623","279060","이노벡스","KONEX","2021","12","-",,,"100",,,,"6833075",
"1624","214320","이노션","KOSPI","2021","12","서비스업","0.43",,"500","1800","3.3","41.311","20000000","36000000000"
"1625","073490","이노와이어리스","KOSDAQ","2021","12","통신장비","0.28",,"500","250","0.6","11.109","6737544","1684386000"
"1626","215790","이노인스트루먼트","KOSDAQ","2021","12","통신장비","0.28",,"500",,,,"40283149",
"1627","344860","이노진","KONEX","2021","12","-",,,"500",,,,"1860000",
